Data,Feriado,Esfera,Tipo,Observações
01/01,Confraternização Universal,Nacional,Feriado,Nacional
20/01,São Sebastião,Municipal (Rio de Janeiro),Feriado,Padroeiro da cidade do Rio de Janeiro
Data móvel,Carnaval (Terça-feira),Estadual (Rio de Janeiro),Feriado,Feriado estadual
Data móvel,Segunda-feira de Carnaval,N/A,Ponto Facultativo,Normalmente adotado no Rio de Janeiro
Data móvel,Quarta-feira de Cinzas (até 14h),N/A,Ponto Facultativo,Normalmente adotado no Rio de Janeiro
Data móvel,Sexta-feira Santa,Nacional,Feriado,Paixão de Cristo
21/04,Tiradentes,Nacional,Feriado,Nacional
23/04,São Jorge,Estadual (Rio de Janeiro),Feriado,Feriado estadual
01/05,Dia do Trabalhador,Nacional,Feriado,Nacional
Data móvel,Corpus Christi,N/A,Ponto Facultativo,Normalmente adotado pela Prefeitura e Governo do Estado
07/09,Independência do Brasil,Nacional,Feriado,Nacional
12/10,Nossa Senhora Aparecida,Nacional,Feriado,Padroeira do Brasil
02/11,Finados,Nacional,Feriado,Nacional
15/11,Proclamação da República,Nacional,Feriado,Nacional
20/11,Dia da Consciência Negra,Nacional,Feriado,Dia Nacional de Zumbi e da Consciência Negra
25/12,Natal,Nacional,Feriado,Nacional
24/12,Véspera de Natal,N/A,Ponto Facultativo,Adotado em diversos órgãos públicos
31/12,Véspera de Ano Novo,N/A,Ponto Facultativo,Adotado em diversos órgãos públicos
